id,original_title,vote_count
8,Life in Loops (A Megacities RMX),18
9,Sonntag im August,12
16,Dancer in the Dark,1302
17,The Dark,198
19,Metropolis,1908
20,My Life Without Me,345
21,The Endless Summer,78
26,LaLehet Al HaMayim,58
27,9 Songs,346
64,Hable con ella,930
66,Absolute Power,734
71,Billy Elliot,3058
74,War of the Worlds,6538
81,囹?벀寃쀧삜猷붽쿁??쎄텘?猷붽텠,2497
83,Open Water,824
85,Raiders of the Lost Ark,9600
88,Dirty Dancing,4867
89,Indiana Jones and the Last Crusade,7737
91,Las Hurdes,103
92,Megacities,12
93,Anatomy of a Murder,645
94,Kunstgriff,1
96,Beverly Hills Cop II,1754
97,Tron,1648
102,Elsker dig for evigt,68
106,Predator,5808
110,Trois couleurs : Rouge,929
112,Italiensk for begyndere,90
124,Bez ko?쫈a,53
125,Dworzec,16
133,Primary,24
134,"O Brother, Where Art Thou?",3129
137,Groundhog Day,5986
138,Dracula,801
139,Mifunes sidste sang,45
141,Donnie Darko,9875
143,All Quiet on the Western Front,490
148,The Secret Life of Words,153
150,48 Hrs.,1054
152,Star Trek: The Motion Picture,1240
156,Wilbur beg梨꿹 selvmord,63
158,Knockin' on Heaven's Door,347
159,Der bewegte Mann,71
160,L'arriv梨뷷 d'un train ??La Ciotat,339
162,Edward Scissorhands,10399
165,Back to the Future Part II,10129
167,K-PAX,1764
169,Predator 2,2183
171,La Boum 2,501
187,Sin City,6448
190,Das Dorf der Freundschaft,2
191,Die innere Sicherheit,28
193,Star Trek: Generations,970
194,Le Fabuleux Destin d'Am梨뷿ie Poulain,9237
195,Trouble in Paradise,173
196,Back to the Future Part III,8214
197,Braveheart,7916
201,Star Trek: Nemesis,1049
206,Paradise Found,18
215,Saw II,3961
216,Angst essen Seele auf,252
217,Indiana Jones and the Kingdom of the Crystal Skull,6398
220,East of Eden,522
222,Berlin: Die Sinfonie der Gro?쯵tadt,67
224,Cz?줼wiek z marmuru,49
229,The Bride of Frankenstein,624
232,Rumble Fish,450
233,The Wanderers,125
236,Muriel's Wedding,307
237,Young Adam,112
246,"鵝?룤?븃틡?""??륁쁽?醫롮뵠燁살꼦??뉖뮉 ?袁⑥뺏??筌띾뜆沅쀯쭪?嚥???룻롧몴???곷선揶쎛??筌띾???獄쎻뫖??? ???筌?????ㅿ펷????깃퉳????沅?癒?씌 ?紐껁걟?????????醫됰┛??揶쎛繹먮슣???貫?????덈뼄. 甕곕뜃而삼㎗?롮쓥 ??쥓?ㅶ???뽱뒄????쇨컧????곸뵠 ?怨???筌〓슢??? ?袁㏉굝??븐넅 揶쏆늿? 野꺜?醫롮뵠 域밸㈇苡? 沃섏눘?????뀁벂??????筌띾뜆????諛몃즲???癒곕꽅??곹뒄. 域밸챶???袁⑥뺏?關肉????쑬???살쑎??野껊슣????癒?꼻??筌띾슢沅?? 燁살꼶梨?怨몄뵥 沃섎챶?덄몴?筌왖????륁궎??삳듇??? 域밸챶?????덇문 ??륁궎?紐꾩뵠??뉖뮉 ?袁⑥쒔筌왖???癒?땾??揶쏆떚由??袁る퉸 ?醫딇뀋???袁⑹삢??筌?雅뚯눘??癒?퐣 ??노릭????덈뼄.  ??쀫젶",612
248,Pocketful of Miracles,114
249,The War of the Roses,837
250,I Kina spiser de hunde,177
251,Ghost,4362
255,Baisers vol梨븉,285
256,Antoine et Colette,156
257,Oliver Twist,943
259,L'amour en fuite,131
270,Wir sagen Du! Schatz.,6
273,Das weisse Rauschen,40
274,The Silence of the Lambs,12590
276,Die fetten Jahre sind vorbei,249
277,Underworld,5029
284,The Apartment,1593
286,Deutschland. Ein Sommerm梨꼛chen,41
287,Bull Durham,405
290,Barton Fink,1228
291,Riding Giants,35
292,Dave Chappelle's Block Party,79
294,Desert Hearts,92
302,Swimming Pool,482
303,Notorious,1102
306,Beverly Hills Cop III,1295
307,Roma citt??aperta,583
312,Jenseits der Stille,42
313,Snow Cake,130
316,Halbe Treppe,16
320,Insomnia,3535
321,Mambo Italiano,61
322,Mystic River,4910
332,Inspector Gadget,922
333,Bollywood/Hollywood,23
338,Good Bye Lenin!,1817
340,Everything is Illuminated,574
341,A Crime,22
342,Sommersturm,147
344,Bang Boom Bang - Ein todsicheres Ding,144
348,Alien,11077
349,Crustac梨븉 et coquillages,24
351,Sehnsucht,11
381,To Catch a Thief,1087
383,Mala Noche,79
393,Kill Bill: Vol. 2,11147
395,AVP: Alien vs. Predator,3289
397,French Kiss,548
403,Driving Miss Daisy,1143
409,The English Patient,1577
410,Sommer vorm Balkon,28
419,Vom Suchen und Finden der Liebe,11
421,The Life Aquatic with Steve Zissou,2111
428,Sommer '04,14
430,"One, Two, Three",246
434,Knallhart,36
435,The Day After Tomorrow,6283
437,Cube 2: Hypercube,1058
439,La dolce vita,1344
440,Aliens vs Predator: Requiem,2059
442,Popul梨꼛musik fr梨꿳 Vittula,33
446,Lichter,22
457,Sissi,363
458,Sissi - Die junge Kaiserin,260
459,Sissi - Schicksalsjahre einer Kaiserin,256
460,Alles auf Zucker!,36
464,S梨?som i himmelen,111
465,36 Fillette,18
467,The Hole,628
468,My Own Private Idaho,829
471,Bandyta,15
473,Pi,1655
480,Monsoon Wedding,149
481,7 v梨쟲genes,44
491,Ghettokids - Br泥큕er ohne Heimat,5
492,Being John Malkovich,3273
493,Shaft's Big Score!,33
494,Shaft in Africa,30
502,Fail Safe,245
505,Johnny Handsome,168
507,Killing Zoe,239
511,Ziemia obiecana,44
522,Ed Wood,1741
523,Requiem,62
525,The Blues Brothers,3199
527,Once Were Warriors,270
530,A Grand Day Out,597
531,The Wrong Trousers,688
532,A Close Shave,561
534,Terminator Salvation,5132
536,Stuttgart Shanghai,1
543,Blackmail,149
544,There's Something About Mary,3980
547,The Horse Whisperer,884
549,Basquiat,215
552,Pane e tulipani,193
555,Absolut,20
558,Spider-Man 2,11574
559,Spider-Man 3,10519
561,Constantine,5234
563,Starship Troopers,3573
568,Apollo 13,4238
573,Frenzy,600
574,The Man Who Knew Too Much,977
579,Jaws 2,1386
580,Jaws: The Revenge,724
585,"Monsters, Inc.",14832
587,Big Fish,5831
593,遼쇗짌???甸?,1114
601,E.T. the Extra-Terrestrial,9054
602,Independence Day,7681
606,Out of Africa,1015
616,The Last Samurai,5264
618,The Birth of a Nation,368
620,Ghostbusters,6845
625,The Killing Fields,514
631,Sunrise: A Song of Two Humans,546
634,Bridget Jones's Diary,4042
635,Angel Heart,1045
636,THX 1138,681
638,Lost Highway,1826
641,Requiem for a Dream,7646
644,A.I. Artificial Intelligence,4927
648,La belle et la b梨뾲e,422
650,Boyz n the Hood,1317
663,Saw IV,2779
664,Twister,2398
677,Olympia - Fest der V泥쟫ker,67
685,Olympia - Fest der Sch泥쟮heit,49
687,Dead Man Walking,991
688,The Bridges of Madison County,1543
693,Meet the Fockers,3798
695,Short Cuts,395
697,???????,127
700,Octopussy,1392
701,Our Hospitality,177
702,A Streetcar Named Desire,981
