,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,cast_id,character,credit_id,order,movie_id
0,False,2,2524,Acting,Tom Hardy,Tom Hardy,44.119,/9bXUMLOBCcnhcUGtfw0pdqbvpiH.jpg,1,Eddie Brock / Venom,5c5b3ebfc3a3683cc6885550,0,580489
1,False,2,57755,Acting,Woody Harrelson,Woody Harrelson,22.604,/igxYDQBbTEdAqaJxaW6ffqswmUU.jpg,7,Cletus Kasady / Carnage,5c86bc069251410d3616ff8e,1,580489
2,False,1,1812,Acting,Michelle Williams,Michelle Williams,11.94,/mfgKyigaQLI0NtZsaJRVlbUiMdX.jpg,9,Anne Weying,5d4b75510021340013269639,2,580489
3,False,1,2038,Acting,Naomie Harris,Naomie Harris,15.663,/pDFs4gSeKSyIF8PditvtHqAq687.jpg,14,Frances Louise Barrison / Shriek,5daa557cb2681f0014915771,3,580489
4,False,2,81316,Acting,Reid Scott,Reid Scott,4.425,/kBAeDUDA7XJRXFLGNALlpE5d3lA.jpg,13,Dr. Dan Lewis,5d8d512979b3d4001f894708,4,580489
5,False,2,1115,Acting,Stephen Graham,Stephen Graham,12.198,/rkavERf9KK4Yvs8V4HWrTaUwoHX.jpg,15,Detective Mulligan,5de9c207a313b8001294cbbd,5,580489
6,False,1,2141479,Acting,Peggy Lu,Peggy Lu,5.855,/ng5eaDcOf9kSwIYGNmwF9wEfIHp.jpg,35,Mrs. Chen,60b3aae457d378006f7291d8,6,580489
7,False,1,1225043,Acting,Sian Webber,Sian Webber,0.761,,102,Dr. Pazzo,6157d6b469eb900061d1811d,7,580489
8,False,0,1966036,Acting,Michelle Greenidge,Michelle Greenidge,0.706,/oi11TASk3g6Y0QFgb1aapADBMAR.jpg,42,Mugging Victim,60e4c30984591c0074b65ac8,8,580489
9,False,0,3255760,Acting,Rob Bowen,Rob Bowen,0.6,,103,Beaten Mugger,6157d6f393828e005fce91e0,9,580489
10,False,2,1052257,Acting,Laurence Spellman,Laurence Spellman,1.543,/47xoUxleCv94VQnkzkAoa1xRS5Z.jpg,39,Patient,60e4c26c258823005d816ae0,10,580489
11,False,1,2464328,Acting,Little Simz,Little Simz,1.4,/5L3gQS6xKROcNnf5WEabDmzLIFn.jpg,104,Little Simz,6157d788eb14fa008c0e7d64,11,580489
12,False,2,2448692,Acting,Jack Bandeira,Jack Bandeira,2.615,/510gfaNl3XiWsA6ZS8oplLmsDJp.jpg,105,Young Cletus,6157d7a76f8d950020bf137e,12,580489
13,False,1,3225965,Acting,Olumide Olorunfemi,Olumide Olorunfemi,0.6,,100,Young Shirek,61576d22dcb6a3002a95ae56,13,580489
14,False,2,1656966,Acting,Scroobius Pip,Scroobius Pip,1.4,/6wEJf3gs8JS6ATAVAZaH5YvGqpj.jpg,106,Siegfried,6157d7c36f8d950020bf139b,14,580489
15,False,2,1683344,Acting,Amrou Al-Kadhi,Amrou Al-Kadhi,1.38,/wGr7Emb8ppfUThAc7rywI6wgfBJ.jpg,107,Host Two,6157d7edeb14fa00627e9d77,15,580489
16,False,0,3255761,Acting,Beau Sargent,Beau Sargent,0.6,,108,Host Three,6157d806156cc700456895d7,16,580489
17,False,0,1073870,Acting,Brian Copeland,Brian Copeland,0.6,/xD0G1ccbLRTHLlROotAL9Avc6kv.jpg,109,Rodeo Beach Reporter,6157d816d2147c002674ed22,17,580489
18,False,0,165359,Acting,Stewart Alexander,Stewart Alexander,0.6,/najx2f4DAKt7DtQkPEyNXJURyNe.jpg,110,Warden,6157d82681c7be0025dc6409,18,580489
19,False,2,2021417,Acting,Sean Delaney,Sean Delaney,0.84,/o5CKqXDL8D97kY7YWk8qHX7NZz7.jpg,36,Young Detective Mulligan,60b3aaebb7b69d0029114b0f,19,580489
20,False,0,1364950,Acting,Ed Kear,Ed Kear,0.98,/jB1QY1DSN253bbtz51MHXEBj9O8.jpg,40,Reveler,60e4c27f07faa200301809c2,20,580489
21,False,0,2604970,Acting,Emma Lau,Emma Lau,0.6,,111,Reveler,6157d841156cc7009403581e,21,580489
22,False,0,2866907,Acting,Louis j Rhone,Louis j Rhone,0.6,,112,Reveler,6157d86267dcc9002a6ee49b,22,580489
23,False,2,142519,Acting,Christopher Godwin,Christopher Godwin,0.665,/yrhPkJY9oafkA5GipMZajVP17wH.jpg,113,Headmaster (1997),6157d87e07e281008db0d2b3,23,580489
24,False,0,3255762,Acting,Tiffanie Thomas,Tiffanie Thomas,0.6,,114,San Quentin Tier Guard,6157d8a54d6791002ce2e1f4,24,580489
25,False,2,13031,Crew,Rocky Capella,Rocky Capella,2.249,/b9kWmKUZjemfeRUZd5U4VcPhxOZ.jpg,115,Valet Car Park,6157d8bf41a561002ae95a0b,25,580489
26,False,0,1477844,Acting,Sam Robinson,Sam Robinson,0.6,,116,San Quentin Guard,6157d8f067dcc90062e4ee4d,26,580489
27,False,2,1503079,Acting,Greg Lockett,Greg Lockett,0.6,/p2OeDF1ssTV4plTILk5O5pbevMJ.jpg,117,San Francisco Police Department Officer,6157d90681c7be008e0fdac6,27,580489
28,False,0,1332976,Acting,Sonny Ashbourne Serkis,Sonny Ashbourne Serkis,0.828,/2JbGNmVfjDtYi1Rqgy4WgT1UX34.jpg,118,Plunger Man,6157d915f10a1a0044f6d831,28,580489
