,id,name,movie_id
0,612,hotel,5.0
1,613,new year's eve,5.0
2,616,witch,5.0
3,622,bet,5.0
4,922,hotel room,5.0
5,2700,sperm,5.0
6,9706,anthology,5.0
7,12670,"los angeles, california",5.0
8,160488,hoodlum,5.0
9,187056,woman director,5.0
10,803,android,11.0
11,4270,galaxy,11.0
12,4271,hermit,11.0
13,6212,smuggling (contraband),11.0
14,10013,death star,11.0
15,10016,lightsaber,11.0
16,11107,rescue mission,11.0
17,11195,empire,11.0
18,11196,rebellion,11.0
19,13194,planet,11.0
20,160134,the force,11.0
21,161176,space opera,11.0
22,163295,galactic war,11.0
23,178710,stormtrooper,11.0
24,178712,totalitarianism,11.0
25,970,parent child relationship,12.0
26,5656,"sydney, australia",12.0
27,10026,harbor,12.0
28,11477,anthropomorphism,12.0
29,14785,underwater,12.0
30,15097,shark,12.0
31,33635,pelican,12.0
32,33759,fish tank,12.0
33,33760,great barrier reef,12.0
34,154896,sea turtle,12.0
35,156948,missing child,12.0
36,179430,aftercreditsstinger,12.0
37,179431,duringcreditsstinger,12.0
38,180557,short term memory loss,12.0
39,180568,clownfish,12.0
40,180574,father son reunion,12.0
41,181068,protective father,12.0
42,455,farewell,20.0
43,970,parent child relationship,20.0
44,3737,dying and death,20.0
45,4225,night shift,20.0
46,5600,daughter,20.0
47,7879,secret love,20.0
48,161944,responsibility,20.0
49,187056,woman director,20.0
50,911,exotic island,22.0
51,1318,blacksmith,22.0
52,1319,east india company,22.0
53,1321,gold,22.0
54,3266,jamaica,22.0
55,4062,skeleton,22.0
56,4107,british empire,22.0
57,5744,governor,22.0
58,12988,pirate,22.0
59,157186,swashbuckler,22.0
60,160279,18th century,22.0
61,167861,caribbean sea,22.0
62,179430,aftercreditsstinger,22.0
63,185200,pirate ship,22.0
64,224626,british navy,22.0
65,235626,tortuga,22.0
66,233,japan,24.0
67,732,coma,24.0
68,779,martial arts,24.0
69,780,kung fu,24.0
70,797,showdown,24.0
71,1293,asia,24.0
72,1449,underworld,24.0
73,1794,yakuza,24.0
74,1938,sword,24.0
75,3582,bride,24.0
76,7002,vigilante,24.0
77,9725,sword fight,24.0
78,9748,revenge,24.0
79,10704,female yakuza,24.0
80,11321,animated scene,24.0
81,13027,wedding,24.0
82,18098,samurai sword,24.0
83,162388,retribution,24.0
84,591,cia,28.0
85,726,drug abuse,28.0
86,736,journalist,28.0
87,818,based on novel or book,28.0
88,1008,guerrilla warfare,28.0
89,2956,vietnam,28.0
90,2957,vietnam war,28.0
91,2959,vietcong,28.0
92,2960,cambodia,28.0
93,3269,secret mission,28.0
94,6092,army,28.0
95,6255,insanity,28.0
96,6917,epic,28.0
97,9887,surrealism,28.0
98,10148,tribe,28.0
99,10364,mission,28.0
100,10403,green beret,28.0
101,10787,jungle,28.0
102,11323,descent into madness,28.0
103,14707,brutality,28.0
104,158244,riverboat,28.0
105,162365,military,28.0
106,165431,anti war,28.0
107,970,parent child relationship,35.0
108,3700,garbage,35.0
109,6305,pollution,35.0
110,6832,environmental protection agency,35.0
111,6898,quarantine,35.0
112,10041,dysfunctional family,35.0
113,10061,dysfunctional marriage,35.0
114,15174,ecology,35.0
115,157303,first love,35.0
116,179431,duringcreditsstinger,35.0
117,563,deja vu,38.0
118,802,regret,38.0
119,931,jealousy,38.0
120,1453,amnesia,38.0
121,1566,dream,38.0
122,1604,operation,38.0
123,5625,relationship problems,38.0
124,9673,love,38.0
125,10937,memory,38.0
126,12400,brainwashing,38.0
127,14534,relationship,38.0
128,34265,heartbreak,38.0
129,157171,nonlinear timeline,38.0
130,190255,tragicomedy,38.0
131,616,witch,58.0
132,663,fortune teller,58.0
133,910,bondage,58.0
134,911,exotic island,58.0
135,1299,monster,58.0
136,1316,captain,58.0
137,1319,east india company,58.0
138,1461,compass,58.0
139,3799,ship,58.0
140,5600,daughter,58.0
141,9725,sword fight,58.0
142,12988,pirate,58.0
143,14895,cannibal,58.0
144,157186,swashbuckler,58.0
145,161171,kraken,58.0
146,179430,aftercreditsstinger,58.0
147,279987,based on theme park ride,58.0
148,305,moon,62.0
149,306,jupiter,62.0
150,310,artificial intelligence,62.0
151,312,man vs machine,62.0
152,1576,technology,62.0
153,3222,super computer,62.0
154,3801,space travel,62.0
155,4040,space mission,62.0
156,12185,moon base,62.0
157,14626,astronaut,62.0
158,34117,cult film,62.0
159,34152,evolution,62.0
160,155689,monolith,62.0
161,156039,space station,62.0
162,161176,space opera,62.0
163,252104,2000s,62.0
164,30,individual,65.0
165,542,street gang,65.0
166,704,adolescence,65.0
167,897,rap music,65.0
168,898,hip-hop,65.0
169,899,rhyme battle,65.0
170,900,trailer park,65.0
171,2394,ghetto,65.0
172,4562,rapper,65.0
173,6325,ethnic stereotype,65.0
174,9457,single,65.0
175,18021,"detroit, michigan",65.0
176,259359,battle rap,65.0
177,30,individual,67.0
178,393,civil war,67.0
179,536,israel,67.0
180,537,palestine,67.0
181,539,middle east,67.0
182,789,muslim,67.0
183,5907,israeli–palestinian conflict,67.0
184,6054,friendship,67.0
185,12993,suicide mission,67.0
186,156052,unemployment,67.0
187,396,transporter,70.0
188,1252,suicide attempt,70.0
189,1721,fight,70.0
190,2660,strong woman,70.0
191,2792,boxer,70.0
192,3737,dying and death,70.0
193,4327,stroke of fate,70.0
194,4613,training,70.0
195,5212,advancement,70.0
196,10614,tragedy,70.0
197,11322,female protagonist,70.0
198,14707,brutality,70.0
199,156330,boxing trainer,70.0
200,167982,unlikely friendship,70.0
201,198585,female boxing,70.0
202,199658,knockout,70.0
203,206662,euthanasia,70.0
204,207999,determination,70.0
205,447,post traumatic stress disorder,74.0
206,586,new jersey,74.0
207,818,based on novel or book,74.0
208,1353,underground,74.0
209,3800,airplane,74.0
210,4565,dystopia,74.0
211,5600,daughter,74.0
212,9714,remake,74.0
213,9951,alien,74.0
214,10349,survival,74.0
215,12332,apocalypse,74.0
216,13031,creature,74.0
217,14909,alien invasion,74.0
