,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/8TiYxxck4kfKwXAAdi6aZLeQd5L.jpg,"[35, 18, 10751]",593402,it,Tolo Tolo,,6.511,/m9qokH2ZVRYVoxd0YjXzCb3HRw8.jpg,2020-01-01,톨로 톨로,False,6.2,980
1,False,/sizHX5VbwlBihaathTQHVGk1jdi.jpg,"[878, 18, 10749, 28]",514207,ru,Вторжение,"첫 우주 침공으로부터 3년이 지난 지구. 인류는 상처를 이겨내고 조금씩 평범한 일상으로 돌아가고 있다. 그러나 평화도 잠시, 다시 그들이 모습을 드러냈다. 물이 존재하는 그 어느 곳도 안전하지 않은 상황. 하지만 인류는 반드시 이겨낼 것이다!",25.871,/kXDm2b90sekbtX1DSBKPzgmFBJb.jpg,2020-01-01,인베이젼 2020,False,6.9,591
2,False,/bYSenwevJ3e71W0aweIv0vhBrhS.jpg,"[27, 9648]",465086,en,The Grudge,복수심을 품은 악령의 저주를 받은 집. 들어오는 자가 누구든 끔찍한 죽음을 맞는다.,17.782,/vN7JHlHOT9rHNDU27tfYqhABBj5.jpg,2020-01-01,그루지,False,5.6,857
3,False,/xcUf6yIheo78btFqihlRLftdR3M.jpg,"[10751, 14, 12]",448119,en,Dolittle,"동물들과 소통하는 특별한 능력을 지닌 닥터 두리틀은 사랑하는 사람을 잃고 세상과 단절한 채 동물들과 친구가 되어 살아간다. 어느 날, 여왕에게 알 수 없는 불치병이 생기고 왕국마저 위험에 빠지게 되자, 그의 놀라운 능력만이 모든 것을 해결할 수 있음을 알게 된다. 세상을 구하기 위해서는 반드시 주어진 시간 안에 누구도 가보지 못했던 신비의 섬을 찾아내야만 하고, 두리틀은 친구들과 함께 위험천만한 모험을 떠나게 되는데…",33.424,/nQc9jFPt3cPhw5T5OaF9rfXE6cO.jpg,2020-01-01,닥터 두리틀,False,6.8,2743
4,False,/4hzMhQ7mvzcmZcblpm1yppZbbPt.jpg,[18],630220,it,18 regali,"매년 생일이 되면 세상에 없는 엄마로부터 선물이 도착한다. 임신한 채 시한부 선고를 받은 엄마가 미리 준비해둔 열여덟 개의 선물. 하지만 딸에겐 그 선물이 부담이다. 마침내 마지막 선물을 푸는 날, 모녀에게 새로운 시작이 찾아온다.",10.715,/xvXSGXTN18Lvp3sGoFpzLgwyoOV.jpg,2020-01-02,열여덟 번의 선물,False,7.5,549
5,False,/lwMJfdQyrw2vg2ep40G0Mz74fXF.jpg,[27],586265,es,La marca del demonio,,7.872,/nhcoI9Ww6dx6YV041IUlL72nYQi.jpg,2020-01-03,La marca del demonio,False,4.4,135
6,False,/ww7eC3BqSbFsyE5H5qMde8WkxJ2.jpg,"[28, 27, 878, 53]",443791,en,Underwater,"30일 동안 해저 시추 시설에서 엄청난 압력을 견디며 바다의 밑바닥을 뚫어야 하는 캐플러 기지의 대원들. 어느 날, 큰 지진으로 콘크리트 구조물을 뚫고 급류가 들이 닥쳐 기지는 순식간에 파괴되고 대혼란이 일어난다. 갑작스런 대재앙 속에서 가까스로 살아남은 대원들은 전기 엔지니어 노라를 비롯한 5명. 이들이 시도해 볼 수 있는 유일한 방법은 또 다른 해저 기지 ‘로우벅’으로 이동해 탈출 포트를 찾는 것 뿐. 하지만 어두운 심해엔 그들만이 존재하는 것이 아니었다. 무언가 그들을 바짝 따라오고 있다. 불가사의한 포식자와 쫓고 쫓기는 위험천만한 게임에 갇혀버린 대원들. 살아남기 위해선 남은 용기를 전부 쥐어 짜내야만 한다.",41.112,/mJLGDhbJ85FY4XzDHTuSGK1k3Gl.jpg,2020-01-08,언더워터,False,6.3,2260
7,False,/3B9DwhW9fBs3VsRmIoBilb8zmIM.jpg,"[27, 53]",632309,en,The Assent,,10.062,/bHVy3bKsfi8AbVwzelliNBt3SUG.jpg,2020-01-09,The Assent,False,6.1,182
8,False,/4xIBM8RwIvpwMlJSoF6tqFOaB6N.jpg,"[10751, 28, 35]",592834,en,My Spy,투 머치 토커 내근직 스파이 ‘바비’와 함께 실직 위기에서 구해줄 최후의 비밀 작전에서 투입된 ‘JJ’.  넘사벽 능력치의 감시 대상 1호인 ‘소피’에게 정체가 발각되는데..  “쟤를 죽이고 사고로 위장하자”  모든 것이 끝날 수 있는 절체절명의 순간!  과연 스파이 ‘JJ’는 무사히 작전을 마칠 수 있을까?,22.687,/jq38HkaoVOho93Ph0NDyCj1lPTf.jpg,2020-01-09,마이 스파이,False,7.0,850
9,False,/dUBfcpXkD75WD8ZFgDfUauqFINh.jpg,"[18, 36]",590869,it,Hammamet,,6.12,/8wlJHcJQjjnTvwXemRNmJ9zIBW.jpg,2020-01-09,Hammamet,False,6.0,314
10,False,/cH0AXST2dsHcD62qTbS4Cte6Wjb.jpg,[35],526019,en,Like a Boss,"정 반대 성격의 멜(로즈 번)과 미아(티파니 해디쉬)는 의기투합하여 신생 화장품 회사를 설립하지만 재정적으로 어려움을 겪게 되고, 이 문제를 해결하기 위해 업계 큰손 클레어(셀마 헤이엑)의 투자를 받는다. 그러던 도중 클레어(셀마 헤이엑)의 계략에 베스트 프렌드였던 둘의 우정에 금이 가게 되는데… 멜(로즈 번)과 미아(티파니 해디쉬)는 우정을 지키고 자신들의 화장품 회사를 지켜낼 수 있을까?",16.444,/9qXVdjkKd00mrQEqK4vmSqkLFek.jpg,2020-01-09,라이크 어 보스,False,6.4,525
11,False,/lojne3fQGObwbqIG998JmV9dhZ2.jpg,"[16, 10751]",574089,en,Loop,,7.297,/jT3odk38MrYTK0IdmAxxCJOV8II.jpg,2020-01-10,Loop,False,6.7,101
12,False,/p9tdFuUe1Xc9YYMmPcqMczttnvG.jpg,"[16, 35, 28, 12, 10751]",550738,fr,Spycies,"고도의 훈련을 받은 스페셜 에이전트 블라디미르는 임무 수행 중 실수로 인해 좌천을 당한다. 하지만 정체 모를 침입자들의 습격을 받게 된 후, 그들의 목적이 지구 생명체의 모든 종을 말살시키려는 것이라는 첩보를 입수한 블라디미르는 다시 현장으로 복귀하게 되는데…. 과연 지구의 모든 종을 말살시키려는 음모를 저지하고 지구를 구할 수 있을까?",19.03,/nJgwP9YlXJMuBoKBrWkjFedzf2g.jpg,2020-01-11,스파이즈,False,7.7,166
13,False,/kicmQvtJNDR6UqjDwrwvZyvabSG.jpg,[53],586461,en,Swallow,"부유한 기업가 마이클의 아들인 리치와 결혼한 헌터는, 강이 내려다 보이는 멋진 저택에서 생활하며 사람들의 부러움을 한 몸에 받는다. 리치는 회사에서 최연소 전무로 승진하고 헌터는 임신하면서 행복한 부부처럼 보이지만, 헌터는 리치와 시부모의 대화 상대가 되지 못하고 무시당한다.그러던 어느 날, 헌터는 시어머니 캐서린에게서 '기쁨의 재능(A Talent for Joy)'이라는 책을 선물 받는다. 그 책에서 매일 예상치 못한 새로운 일을 하라는 문구를 본 헌터는 몸이 거부하는 금속 등을 삼키기 시작한다. 태아 검사를 위해 리치와 함께 산부인과에 간 헌터는, 그곳에서 자신의 몸에 남아 있는 위험한 물질들을 발견하고 제거하는 시술을 받게 된다. 헌터가 이식증에 걸린 것을 알게 된 리치와 리치의 부모는, 헌터에게 정신과 의사 엘리스에게 상담을 받게 하고 시리아 출신의 루에이를 고용하여 헌터의 일거수일투족을 감시하는데...",14.783,/rPNmKbA6EGFLQUnQEA8BWqCU39z.jpg,2020-01-15,스왈로우,False,6.6,387
14,False,/3N316jUSdhvPyYTW29G4v9ebbcS.jpg,"[53, 28, 80]",38700,en,Bad Boys for Life,"마이애미 강력반의 베테랑 형사 마이크는 여전히 범죄자를 소탕하는 데 열성적이지만, 그의 파트너 마커스는 이제 일선에서 물러나 가족과 함께 시간을 보내고 싶어한다. 마커스의 은퇴를 만류하던 마이크가 정체를 알 수 없는 거대 조직의 위협을 받으며 일생일대의 위험에 빠지게 된다. 가족만큼 중요한 마이크를 위해 마커스가 합류하고, 우리의 나쁜 녀석들은 신식 무기와 기술을 장착한 루키팀 AMMO와 함께 힘을 합쳐 일생일대 마지막 미션을 수행하게 되는데…",91.992,/nK39gwD8ma9O2fOLth57qSwb9e.jpg,2020-01-15,나쁜 녀석들: 포에버,False,7.2,6654
15,False,/1umKVgbjFG5Cho5ZKTpcvRFJjuJ.jpg,"[35, 53, 80]",609242,es,El robo del siglo,"페르난도는 부에노스 아이레스 북쪽 부촌 아카수소의 은행을 털기로 작정한다. 왕년의 절도범 루이스는 페르난도의 계획에 시큰둥하지만 그의 치밀한 계획에 사로잡혀 인생을 건 마지막 은행강도에 동참한다. 다섯명의 무장강도단은 은행을 습격하고, 곧 경찰 특수부대와 인질협상가가 뛰어들지만 진압은 쉽지가 않다. 그리고 마침내 경찰이 은행에 진입한 순간, 그들을 기다리고 있던 것은 또 다른 반전이었다.",37.733,/acQ5lwnQGwre8n3m8JzTTcNKc5h.jpg,2020-01-16,세기의 도둑,False,7.9,568
16,False,/hRgQVdKh65nFiy2l7KhfWo7DHof.jpg,[10751],520765,en,Go!,"두려움을 모르는 10대 소년이 고카트에 매혹된다. 멋진 친구들과 함께하는 짜릿한 질주와 흥분의 레이싱. 무뚝뚝한 전직 레이서에게 코치를 받으며, 우승을 향해 달린다!",9.916,/tOLC9552jBvymwsgHc3ri2SyuyD.jpg,2020-01-16,고! 고카트,False,6.8,184
