,success,status_code,status_message,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
0,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
1,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,390002.0,tt1215009,fr,Abel Gance et son Napoléon,,0.68,,[],[],1984-03-26,0.0,59.0,[],Released,,Abel Gance et son Napoléon,False,5.3,3.0
3,,,,False,,,0.0,"[{'id': 53, 'name': '스릴러'}]",,390003.0,tt0087364,nl,De grens,,0.6,/3ygv5YTZNQFMcTJVenGrbyTdo2S.jpg,[],"[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",1984-03-26,0.0,100.0,[],Released,,De grens,False,0.0,0.0
4,,,,False,,,0.0,"[{'id': 14, 'name': '판타지'}]",,390004.0,tt0085535,es,Feroz,,1.061,/2cawSAXZOjtF9w6tcSFLkmtIbEg.jpg,"[{'id': 12009, 'logo_path': None, 'name': 'Elías Querejeta P. C.', 'origin_country': 'ES'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",1984-04-05,0.0,115.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Feroz,False,4.8,5.0
5,,,,False,,,0.0,"[{'id': 10749, 'name': '로맨스'}, {'id': 35, 'name': '코미디'}]",,390005.0,tt0036721,en,Three of a Kind,,1.4,,"[{'id': 14040, 'logo_path': None, 'name': 'Banner Productions', 'origin_country': 'US'}, {'id': 4395, 'logo_path': None, 'name': 'Monogram Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1944-07-22,0.0,60.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Three of a Kind,False,0.0,0.0
6,,,,False,,,0.0,"[{'id': 80, 'name': '범죄'}, {'id': 28, 'name': '액션'}]",,390006.0,tt5806914,en,The Undercovers,,0.6,,[],[],1988-01-01,0.0,90.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Undercovers,False,0.0,0.0
7,,,,False,,,0.0,[],,390007.0,tt0087510,en,Le jour S...,,0.84,/cP5cYsIsN70hhLD5r63GhkaXiAl.jpg,[],[],1984-03-26,0.0,,[],Released,,Le jour S...,False,0.0,0.0
8,,,,False,,,0.0,[],,390008.0,tt0059436,en,Match Girl,,1.091,/gQube5P3LxE8w7O4reDPJtZGYul.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1966-04-28,0.0,26.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Match Girl,False,0.0,0.0
9,,,,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",http://kensingtontv.com/kensington/index.php?type=project&id=10#1,390009.0,tt3882136,en,One Warm Line: The Legacy of Stan Rogers,,0.6,,[],[],1989-01-01,0.0,46.0,[],Released,,One Warm Line: The Legacy of Stan Rogers,False,0.0,0.0
10,,,,False,,,0.0,"[{'id': 36, 'name': '역사'}, {'id': 18, 'name': '드라마'}]",,390010.0,tt0085902,hu,Mária-nap,,0.6,/f5ES4Pg53l8G36RhQOG5jmOMEEd.jpg,"[{'id': 55540, 'logo_path': None, 'name': 'Objektív Film', 'origin_country': ''}, {'id': 18891, 'logo_path': None, 'name': 'Magyar Televízió Drámai Föszerkesztöség', 'origin_country': ''}]","[{'iso_3166_1': 'HU', 'name': 'Hungary'}]",1984-03-26,0.0,113.0,"[{'english_name': 'Hungarian', 'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,Mária-nap,False,0.0,0.0
11,,,,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,390011.0,tt0085225,de,Bella Donna,,0.626,/AkZu9UZFZ0xEwDCZGEV7PWQFdql.jpg,"[{'id': 5132, 'logo_path': None, 'name': 'Von Vietinghoff Filmproduktion (VVF)', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1983-03-26,0.0,0.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Bella Donna,False,0.0,0.0
