,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,success,status_code,status_message
0,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,440000.0,tt2424300,ru,Первое мая в Москве,,0.801,,"[{'id': 111376, 'logo_path': None, 'name': 'Sevzakino', 'origin_country': 'RU'}, {'id': 25065, 'logo_path': '/y1qBEXTFKt1TvGKKH9QAYiP3rPe.png', 'name': 'VUFKU (All-Ukrainian Photo-Cinema Administration)', 'origin_country': 'SU'}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}, {'iso_3166_1': 'UA', 'name': 'Ukraine'}]",1923-10-22,0.0,11.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Первое мая в Москве,False,5.3,7.0,,,
1,False,,,0.0,[],,440001.0,,fr,Objectif Bugarach,,0.6,,[],[],,0.0,,[],Released,,Objectif Bugarach,False,0.0,0.0,,,
2,False,/cspWtae3adkBlJnkL0aD4F7yWpm.jpg,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",http://piligrim.fund/film/hroniki-nesluchivsheysya-revolyucii,440002.0,tt7246016,ru,Хроники неслучившейся революции,,0.6,/8U4s2iFN3S3eob4mCKjYKA4dxPG.jpg,[],"[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2016-12-04,0.0,86.0,"[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Хроники неслучившейся революции,False,0.0,0.0,,,
3,False,/l99XPKHmFZa8SNGAVAakXJ2Cyh9.jpg,,0.0,"[{'id': 10749, 'name': '로맨스'}, {'id': 18, 'name': '드라마'}]",,440003.0,tt3853670,en,INT. CAFÉ – NIGHT,,1.105,/6f6fDx3ZD0duYuX9nQ89Ch5Mqyu.jpg,"[{'id': 132641, 'logo_path': None, 'name': 'Royal Stag Large Short Films', 'origin_country': ''}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2014-08-09,0.0,13.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,INT. CAFÉ – NIGHT,False,8.0,11.0,,,
4,False,,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}]",https://vimeo.com/32835705,440004.0,tt1486833,en,The Euthanizer,,0.653,/bJ8SEgYNVpSZ92s1qZXw7VPH0Kb.jpg,[],[],2009-01-01,0.0,13.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Euthanizer,False,6.0,2.0,,,
5,False,/w3TyO4OKri4GyG3F9IL72ggofa0.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,440005.0,tt0171706,sq,Rrugë të bardha,,0.6,/npCfl8ZjT4OYJyxgHfjpHcfvMr8.jpg,[],[],1974-07-12,0.0,0.0,"[{'english_name': 'Albanian', 'iso_639_1': 'sq', 'name': 'shqip'}]",Released,,Rrugë të bardha,False,0.0,0.0,,,
6,False,,,0.0,"[{'id': 10751, 'name': '가족'}, {'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}]",,440006.0,tt0172243,sq,Çifti i Lumtur,,0.6,/7htDDgBhzK1v5TfvOWndnSLJYHq.jpg,[],"[{'iso_3166_1': 'AL', 'name': 'Albania'}]",1975-10-27,0.0,77.0,"[{'english_name': 'Albanian', 'iso_639_1': 'sq', 'name': 'shqip'}]",Released,,Çifti i Lumtur,False,0.0,0.0,,,
7,False,,,0.0,[],,440007.0,tt0154358,fr,Les contes de mille et une nuits,,0.6,,"[{'id': 391, 'logo_path': None, 'name': 'Albatros', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1921-12-23,0.0,84.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Les contes de mille et une nuits,False,0.0,0.0,,,
8,False,/7ssz0KYKOS5m6GUgQSnCRgifMXx.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,440008.0,tt0295576,sq,Rrugicat që kërkonin diell,,0.6,/xorq9taZ6ThF3ietW90WscTHsdu.jpg,[],"[{'iso_3166_1': 'AL', 'name': 'Albania'}]",1975-02-22,0.0,140.0,"[{'english_name': 'Albanian', 'iso_639_1': 'sq', 'name': 'shqip'}]",Released,,Rrugicat që kërkonin diell,False,6.2,3.0,,,
9,False,,,0.0,"[{'id': 35, 'name': '코미디'}]",,440009.0,tt0495043,de,Millionenschwer verliebt,,0.6,/jRwOufeE67UEnK9Gc46sxRbFfDj.jpg,"[{'id': 34444, 'logo_path': None, 'name': 'Schweizer Fernsehen (FS)', 'origin_country': 'CH'}, {'id': 122062, 'logo_path': None, 'name': 'Zodiac Pictures International', 'origin_country': ''}, {'id': 4606, 'logo_path': '/otZHbf1HmzLRQsZFSqJXkf8EHz7.png', 'name': 'ZDF', 'origin_country': 'DE'}]","[{'iso_3166_1': 'CH', 'name': 'Switzerland'}]",2006-11-05,0.0,,[],Released,,Millionenschwer verliebt,False,0.0,0.0,,,
10,False,/1C3xyqRRbrk9PdyF3UezIJ8tne7.jpg,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 10752, 'name': '전쟁'}]",,440010.0,tt0295490,sq,Në fillim të verës,,0.6,/tmDySwlxW1bprs1jpdxvGgDEpma.jpg,[],"[{'iso_3166_1': 'AL', 'name': 'Albania'}]",1975-11-22,0.0,110.0,"[{'english_name': 'Albanian', 'iso_639_1': 'sq', 'name': 'shqip'}]",Released,,Në fillim të verës,False,0.0,0.0,,,
11,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,440011.0,tt0810982,de,Mutterglück,,1.342,,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2006-10-18,0.0,,[],Released,,Mutterglück,False,0.0,0.0,,,
12,False,,,0.0,[],,440012.0,,nl,Dolf Jansen: Hardverwarmend,,0.6,,[],[],2016-01-01,0.0,0.0,"[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,,Dolf Jansen: Hardverwarmend,False,0.0,0.0,,,
13,False,/tgoNLTQ7UcKToyPHlMvBLcqQK4n.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,440013.0,tt0272266,sq,Pylli i lirisë,,0.6,/qJeiweDHGe5GYfBKKc9kpWaqAXL.jpg,[],"[{'iso_3166_1': 'AL', 'name': 'Albania'}]",1976-10-29,0.0,81.0,"[{'english_name': 'Albanian', 'iso_639_1': 'sq', 'name': 'shqip'}]",Released,,Pylli i lirisë,False,0.0,0.0,,,
14,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",http://europacificfilms.com/in-development/refuge-a-short-film/,440014.0,tt5771574,en,Refuge,,0.6,,"[{'id': 35799, 'logo_path': None, 'name': 'Arcady Bay Entertainment', 'origin_country': ''}, {'id': 86210, 'logo_path': None, 'name': 'EuroPacific Films', 'origin_country': ''}]","[{'iso_3166_1': 'AT', 'name': 'Austria'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",,0.0,,[],Post Production,,Refuge,False,0.0,0.0,,,
15,False,,,0.0,[],,440015.0,tt0122699,de,Das Schweigen der Männer,,0.6,/1diaxEsKPDYSdhda1TdVDDbXE9U.jpg,[],[],1997-01-01,0.0,85.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Das Schweigen der Männer,False,0.0,0.0,,,
16,False,,,0.0,"[{'id': 14, 'name': '판타지'}, {'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]",,440016.0,tt0039654,en,Neel Kamal,,0.6,/dVhm0JBjZVCrdhxQdT0qPELO8qp.jpg,"[{'id': 46730, 'logo_path': None, 'name': 'Bombay Talkies', 'origin_country': ''}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1947-03-24,0.0,111.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Neel Kamal,False,0.0,0.0,,,
