,0,1,2,3,4,5,6,7,8,9,10
0,ko,KR,포레스트 검프_1차 예고편_PLAYY,YT8fUiRZY14,YouTube,1080,Trailer,False,2016-08-09 00:57:53 UTC,600854c1fb3f61004c4283f7,13
1,ko,KR,군대 온 이유 [영화 자헤드],HX5cCSfMGj8,YouTube,1080,Trailer,False,2017-02-13 10:25:32 UTC,601fde6a0c27100041efd812,25
2,ko,KR,지옥의 묵시록: 파이널 컷 - 스페셜 예고편 (한글 자막),t7UibQ3_540,YouTube,1080,Trailer,False,2020-11-20 08:36:49 UTC,60095b7c075288003f754169,28
3,ko,KR,Eternal Sunshine 예고편,qmth-PGDD0Q,YouTube,1080,Trailer,False,2018-12-01 11:32:23 UTC,60102db0b5bc21003d934c6b,38
4,ko,KR,캐리비안의 해적 망자의함 예고편,VFE5rddfXNo,YouTube,1080,Trailer,False,2018-06-13 16:28:51 UTC,60ac3ce61a324800298db38d,58
5,ko,KR,캐리비안의 해적   망자의 함   메인예고편,-NLbpQL-jY4,YouTube,360,Trailer,False,2016-07-24 23:47:50 UTC,592a66659251413b4505c8a9,58
6,ko,KR,[밀리언 달러 베이비] 재개봉 메인 예고편,BU2SwgSjt0o,YouTube,1080,Trailer,False,2017-02-22 01:25:41 UTC,609cb34967203d0042f8402e,70
7,ko,KR,빌리 엘리어트 스페셜 예고편,koUgMa6TMpY,YouTube,1080,Trailer,False,2017-01-23 02:09:20 UTC,600ee38d9a6435003e91ec87,71
8,ko,KR,우주 전쟁 - 전쟁의 시작,bszKeSeDsbs,YouTube,1080,Trailer,False,2016-09-11 08:16:30 UTC,600c55f4cb8028003effa6b8,74
9,ko,KR,[메멘토] 메인 예고편,IL2bwzrtf34,YouTube,1080,Trailer,False,2020-08-05 06:26:36 UTC,600ed80eb5bc21003e92a086,77
10,ko,KR,140808 명화극장 레옹 예고,rBKlWPmdFKE,2014-08-08 02:07:25 UTC,YouTube,1080,Teaser,False,592aadb99251413b5405bac6,101
11,ko,KR,빽투더퓨쳐예고편,qiAB9R3TOK8,YouTube,1080,Trailer,False,2020-06-10 08:29:51 UTC,602d9f39d94035003e76ddd9,105
12,ko,KR,찰리와초콜릿공장 예고편(Re-Cut Trailer),sWXwA9DPwK0,YouTube,1080,Trailer,False,2020-06-26 11:05:04 UTC,600ceb28dd83fa003e913cd5,118
13,ko,KR,반지의 제왕 : 반지 원정대 - Trailer,7OIzI2_Byds,2015-03-19 17:53:46 UTC,YouTube,1080,Trailer,False,57d2791bc3a3685b480016a5,120
14,ko,KR,[반지의 제왕: 왕의 귀환 (The Lord Of The Rings: The Return Of The King)] 예고편,3EEGmuB7ADo,YouTube,480,Trailer,True,2020-03-17 01:59:04 UTC,600d8757c433ea003e423bbe,122
15,ko,KR,Princess Mononoke - trailer,YOuG8m2RqOs,YouTube,1080,Trailer,False,2016-03-05 14:21:40 UTC,60096c09075288003f754f7a,128
16,ko,KR,영화 '센과 치히로의 행방불명' 예고편,lwrG3HQXTFw,YouTube,1080,Trailer,False,2015-01-14 02:41:23 UTC,60096d594d0e8d003d6e8a16,129
17,ko,KR,[400번의 구타] 메인 예고편,18mBWPZX-og,YouTube,1080,Trailer,False,2016-04-07 01:34:41 UTC,6017e1caaafebd0040dd12aa,147
18,ko,KR,"다크 나이트(The Dark Knight, 2008) 메인 예고편|PLAYYMOVIE",5k2hEJ98cQU,YouTube,1080,Trailer,2017-07-14 12:00:42 UTC,False,5c56beb8c3a36805e883fadf,155
19,ko,KR,노킹 온 헤븐스 도어 공식 예고편 (Knockin' On Heaven's Door Official Korean Trailer),YW1NuAuifIQ,2013-05-03 01:16:29 UTC,YouTube,480,Trailer,False,592aabf19251413b5b0606ff,158
20,ko,KR,'가위손' 30초 예고편,nN08W-E5EHE,2014-04-29 04:31:17 UTC,YouTube,480,Teaser,False,592aaee9c3a368783e05f419,162
21,ko,KR,티파니에서 아침을 - Moon River (Breakfast At Tiffany's 1961),gZvGSD_-0X4,YouTube,1080,Teaser,False,2018-10-26 03:00:53 UTC,600ee4009a64350040921b16,164
22,ko,KR,씬시티 메인 예고편 HD,pTGGNlgfjBQ,2014-08-29 10:08:58 UTC,YouTube,1080,Trailer,False,57d3a59092514160ae001e9b,187
23,ko,KR,"다크히어로의 부활 ‘씬시티2’ 예고편 공개(Sin City: A Dame to Kill For, 2013-teaser trailer)",qrXAZNo1FOc,2014-07-28 04:50:19 UTC,YouTube,1080,Trailer,False,57d3a5cac3a3685577001db3,189
24,ko,KR,Amelie 1080p Trailer (Korean Sub),gSh_kOLmheI,YouTube,1080,Trailer,False,2012-01-17 02:12:22 UTC,6097b06310dad6003d110b97,194
25,ko,KR,[죽은 시인의 사회] 메인 예고편,DDOvnBnej_o,YouTube,1080,Trailer,False,2021-03-24 22:00:05 UTC,60659a8cb458b80025a818e4,207
