,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,success,status_code,status_message
0,False,,,1000.0,"[{'id': 18, 'name': '드라마'}, {'id': 80, 'name': '범죄'}]",,900000.0,,en,Bad Beat Story,,0.6,/8AUyTtuUQkKnerelXQ3f2HawaG.jpg,"[{'id': 146701, 'logo_path': None, 'name': 'Walnut House Pictures', 'origin_country': ''}]",[],,0.0,14.0,[],Released,,Bad Beat Story,False,0.0,0.0,,,
1,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,900001.0,,jv,Ibu Ora Sare,,3.561,/8Mf8WHwP80DMFTL2XeV1jr1BGIJ.jpg,[],[],2021-11-30,0.0,14.0,"[{'english_name': 'Javanese', 'iso_639_1': 'jv', 'name': ''}]",Released,,Ibu Ora Sare,False,0.0,0.0,,,
2,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}, {'id': 16, 'name': '애니메이션'}]",http://www.bitterfilms.com,900002.0,,en,On Memory,,1.923,,"[{'id': 63349, 'logo_path': None, 'name': 'Bitter Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-11-19,0.0,10.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,On Memory,False,0.0,0.0,,,
3,False,/AiaHjcdp6n3uy54M0TJi8tVJahJ.jpg,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]",,900003.0,tt0006716,en,The Gilded Cage,,1.4,,"[{'id': 38293, 'logo_path': None, 'name': 'World Film', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1916-10-09,0.0,0.0,[],Released,,The Gilded Cage,False,0.0,0.0,,,
4,False,,,0.0,[],,900004.0,,pt,Nina,,0.6,,[],[],,0.0,0.0,[],Released,,Nina,False,0.0,0.0,,,
5,False,/rVKYza4jPaCyAyfUfEV1x2KbnQo.jpg,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",https://www.campari.com/red-diaries-fellini-forward,900005.0,tt15354380,it,Fellini Forward,,0.84,/51H3yYb0RYQdr1SpEioVK0EAfV5.jpg,"[{'id': 161710, 'logo_path': None, 'name': 'Campari', 'origin_country': ''}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2021-09-07,0.0,45.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Fellini Forward,False,0.0,0.0,,,
6,False,/9IVwTfNokYA1epf7gRaXWSNAjQZ.jpg,,0.0,"[{'id': 10402, 'name': '음악'}]",,900006.0,,en,Sum 41: Live In The K! Pit,,0.6,/kwmVrhKPhEsJcPnEexDoklm9bCr.jpg,[],[],2019-07-08,0.0,0.0,[],Released,,Sum 41: Live In The K! Pit,False,0.0,0.0,,,
7,False,,,0.0,[],,900007.0,tt0245510,en,Tomboy,,0.6,/4tfGASJvoLmZhHzq6JeZPJRREuD.jpg,[],[],1997-01-01,0.0,5.0,[],Released,,Tomboy,False,0.0,0.0,,,
8,False,/lo4LRpsJr6GAyMiqthMmVY8NvNC.jpg,,0.0,"[{'id': 80, 'name': '범죄'}, {'id': 18, 'name': '드라마'}]",,900008.0,tt13090350,en,The Female Hustler,,2.218,/65zoACX4e1X6d0bJ6f9ywsNHLNy.jpg,[],[],2021-11-20,0.0,83.0,[],Released,,The Female Hustler,False,0.0,0.0,,,
9,False,/mMQkQQvZAw5nWjsi55Oz9Gmo7eq.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,900009.0,tt9593840,zh,The Game Sports,,0.6,/tQP0JFqQ5nwtm85mRu9uHoe9OPi.jpg,"[{'id': 14714, 'logo_path': '/oQHaOZEnPzlJACVTisV0FICrS82.png', 'name': 'China Film Group Corporation', 'origin_country': 'CN'}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2008-06-22,0.0,0.0,[],Released,,The Game Sports,False,0.0,0.0,,,
10,False,/jX8yjtOnHxaNCrzi1I3oLKm8Slp.jpg,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 36, 'name': '역사'}]",,900010.0,,zh,Master of Go: Measures Against Measures,,1.343,/mgYr5Yxp6gkOjxN1KriHySfY1Ot.jpg,"[{'id': 85736, 'logo_path': None, 'name': 'China Movie Channel (CMC)', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2010-01-01,0.0,0.0,[],Released,,Master of Go: Measures Against Measures,False,0.0,0.0,,,
11,False,/r3pNe5xZPT8oASzFTn9CU4eyA9.jpg,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 36, 'name': '역사'}]",,900011.0,,zh,Master of Go: Romance over Qinhuai River,,1.343,/k3Cf2rn26iHXjWKnbgWImbwQxJT.jpg,"[{'id': 85736, 'logo_path': None, 'name': 'China Movie Channel (CMC)', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2010-01-20,0.0,0.0,[],Released,,Master of Go: Romance over Qinhuai River,False,0.0,0.0,,,
