,genres
0,"{'id': 28, 'name': '액션'}"
1,"{'id': 12, 'name': '모험'}"
2,"{'id': 16, 'name': '애니메이션'}"
3,"{'id': 35, 'name': '코미디'}"
4,"{'id': 80, 'name': '범죄'}"
5,"{'id': 99, 'name': '다큐멘터리'}"
6,"{'id': 18, 'name': '드라마'}"
7,"{'id': 10751, 'name': '가족'}"
8,"{'id': 14, 'name': '판타지'}"
9,"{'id': 36, 'name': '역사'}"
10,"{'id': 27, 'name': '공포'}"
11,"{'id': 10402, 'name': '음악'}"
12,"{'id': 9648, 'name': '미스터리'}"
13,"{'id': 10749, 'name': '로맨스'}"
14,"{'id': 878, 'name': 'SF'}"
15,"{'id': 10770, 'name': 'TV 영화'}"
16,"{'id': 53, 'name': '스릴러'}"
17,"{'id': 10752, 'name': '전쟁'}"
18,"{'id': 37, 'name': '서부'}"
