,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,FALSE,/rkbVnbVR04ehPOpLsnoFcWWD2r2.jpg,[18],41245,ko,박하사탕,"1999년 봄, 마흔 살이 된 영호는 가리봉 봉우회 야유회에 허름한 행색으로 나타난다. 20년 전 첫사랑 순임과 소풍을 왔던 그 곳에서, 그는 아무도 끼워 주지 않는 틈을 비집고 들어가 광기어린 행동을 보인다.  직업도 가족도 모두 잃고, 삶의 막장에 다다른 영호는 철로 위에서 '나 다시 돌아갈래'라고 절규한다. 영호의 절규는 기차의 기적소리를 뚫고 시간을 거슬러 올라간다. 사흘 전 봄, 94년 여름, 87년 봄, 84년 가을, 80년 5월, 그리고 마지막 79년 가을. 마침내, 영호는 스무 살 첫사랑 순임을 만난다.",7.497,/zxCr6MBF7BPr4r8RiYyuNps4DWN.jpg,2000-01-01,박하사탕,FALSE,7.5,136
1,FALSE,/um28uQCxwVigZc677597cMfrC4R.jpg,"[35, 53]",12490,en,Ordinary Decent Criminal,,8.76,/8uE6na0CjOsLDsvxakS8mrEpLmi.jpg,2000-01-07,Ordinary Decent Criminal,FALSE,6.2,173
2,FALSE,/AsMYgyA7dRZvPPW0eG7F1ryb1nV.jpg,"[35, 18, 10751]",17908,en,My Dog Skip,"2차 세계대전이 한창인 1942년 여름, 미시시피 주의 작은 마을 야주. 윌리는 엄격하지만 자상한 아버지 잭과 엘렌 밑에서 외로이 자라는 수줍음 많은 소년이다. 친구가 없고 스포츠에 재능이 없는 윌리에게 유일한 친구는 마을 최고의 야구선수 딩크 뿐. 그러나 딩크조차 군에 입대하자 외롭게 된 윌리에게 어머니는 아버지의 반대에도 불구하고 강아지 한 마리를 생일 선물로 사준다. 윌리는 강아지에게 스킵이라는 이름을 붙여주고 스킵의 도움으로 친구도 사귀게 되고 학교에서 제일 이쁜 여학생인 리버스에게 말도 걸 수 있게 된다.  어느날 야구경기에서 삼진만 당하고 에러만 범해 짜증이 난 윌리는 스킵을 때리게 되고, 도망간 스킵은 공교롭게도 밀주업자가 술을 숨겨둔 묘지 속에 갇히게 된다. 스킵을 찾기위해 마을을 누비고 다니던 윌리는 딩크의 도움으로 묘지에서 스킵을 찾아내지만, 스킵은 밀주업자의 삽에 맞아 죽음의 위기를 맞이하는데...",10.869,/A3TafOveMdmc1mzjCrmMBNa3oQ2.jpg,2000-01-12,마이 독 스킵,FALSE,6.8,222
3,FALSE,/aEo3hKjdfJ5wmPz12TNexMoK6vW.jpg,[35],10471,en,Next Friday,덩치 큰 거구 디보와 그의 띨띨한 동생 타이론을 한방에 때려눕힌 크래그는 디보와 타이론이 금요일에 출소한다는 소식이 전해지자 아버지 존스의 권유로 복권에 당첨돼 일순간에 벼락부자가 된 삼촌 엘로이와 사촌 데이데이의 집으로 향한다. 하지만 한적한 로스엔젤레스에서 조용한 생활을 보내고자 했던 이들 부자의 생각과는 달리 크래그는 황당한 사건에 휘말리게 된다.  크래그는 데이데이의 옆집에 사는 스페인 마약 거래범들인 조커 형제의 누이 동생 칼라에게 첫눈에 반하고 크래그는 조커와 그의 사악한 개 치코에게 시달린다.  한편 데이데이의 전 여자친구인 다나와 뚱땡이 여동생 베이비 디는 데이데이를 괴롭히고 크래그도 그들의 이상한 관계에 연루된다. 설상가상으로 삼촌 엘로이의 세금 체납으로 차압 당할 위기에 처하고 경고문을 받은 크래그는 데이데이가 일하는 레코드 가게로 달려간다. 하지만 다나와 베이비 디의 난동으로 데이데이와 그의 동료 로치는 해고를 당하는데...,20.921,/dP4fYCGQZzg17ta7FvLwJVCwwt9.jpg,2000-01-12,넥스트 프라이데이,FALSE,6.4,409
4,FALSE,/p2Zdt99YSZsQumY1HYZBF1PXbKI.jpg,"[27, 878, 53]",10384,en,Supernova,"의료구조선인 나이팅게일 229호의 선원들은 이상한 조난 신호를 포착하고 그것을 따라 차원이동을 하게 된다. 그곳에는 신비스런 한 청년 트로이가 있었는데, 에버스 박사는 과거 끔찍한 기억이 있는 옛 애인을 닮은 이 청년을 이상스럽게 생각한다. 그가 나타난 뒤로 우주선은 괴기한 기운으로 감돌기 시작하고, 더욱이 이 이상한 청년은 채굴작업을 하던 자신의 아버지와 몇몇 사람들이 신비스런 한 물체를 발견했고, 그것을 차지하기 위해 서로 싸우다가 죽은 이야기를 한다. 트로이는 그 문제의 물체를 보여주며 서로 나누어 갖자고 은밀한 제안을 한다. 그 물체에 손을 대면 예전보다 젊고 기운이 넘치게 되고 성격조차 변하게 되는 것을 알게 된 대원들은 불안감에 휩싸이게 되고 사태의 심각성을 파악하게 된 부함장 닉 벤잔트는 대원들에게 섣부른 행동을 하지 말것을 명령한다. 상황이 자신의 뜻대로 되지 않자 트로이는 부함장을 죽이려고 하고, 그는 에버스 박사가 의심했던 대로 에버스 박사의 전 애인이었음이 드러나는데...",12.733,/2VvHQgyrdGwhbIgLd9FsDEnxQvy.jpg,2000-01-14,수퍼노바,FALSE,5,262
5,FALSE,/sZNcccoYYRy8js005ViKIsa4Z03.jpg,"[35, 18, 10749]",10472,en,Down to You,,9.56,/ptvHDZtJxj9kj1unae6ryoXsmud.jpg,2000-01-21,Down to You,FALSE,5.1,196
6,FALSE,/noRX8VyyAFK1tt0DQSq5qy1tE10.jpg,"[27, 53]",9674,ja,リング０　バ?スデイ,야마무라 사다코는 어머니인 시즈코가 자살한 후 아버지와 함께 도쿄로 상경한다. 숙녀로 성장한 사다코는 신경학 전공의 구노 박사의 보호 아래 극단의 연극 지망생이 되어 공연을 준비한다. 그러나 사다코가 들어온 뒤 기괴한 꿈을 꾸고 이상한 불안감에 휩싸인 극단 배우들은 그녀를 따돌린다. 공연 전날 주인공인 아이코가 리허설 도중 의문사를 당한데 이어 감독인 시게모리까지 사고로 죽자 사람들은 사다코를 몰아 세운다.,11.698,/k9YmvML8Mu8t1oMdiffdpySD0lr.jpg,2000-01-22,링0 - 버스데이,FALSE,6.2,175
7,FALSE,/49Z0hSJKSXCCDVuoJdJa0I0Ydv.jpg,"[16, 12, 10751, 35]",10898,en,The Little Mermaid II: Return to the Sea,"바다 마녀 우술라를 물리치고 행복한 결혼식을 올린 에리얼과 에릭 왕자. 이들을 더할 나위 없이 행복한 생활을 누린다. 게다가 그들의 귀여운 공주님 멜로디가 태어나자, 성의 사람들은 물론이고, 바다의 왕인 트리톤, 인어들도 모두 함께 축하하며 즐거워한다.  그러나, 이들의 행복을 배아파하며 복수의 칼을 가는 이가 있으니, 그는 바로 우술라의 동생인 몰가나. 갑작스레 멜로디의 생일잔치에 나타난 몰가나가 복수를 선언하고 사라지자, 멜로디의 안전이 걱정된 에리얼은 멜로디를 바닷가에서 떼어놓기로 결심한다.  어느덧 시간은 흘러, 멜로디는 귀엽고 매력적인 공주님으로 성장한다. 하지만, 엄마가 바닷가에 높다란 담을 세우고, 바다에 가는 걸 엄금하는 바람에 몰래 몰래 헤엄을 칠 수 밖에 없다. 또다시 말괄량이 공주님의 보호자 역을 맡게 된 바닷가재 세바스찬도 항시 마음을 졸이며 잔소리를 헤대곤 한다. 그러던 어느날, 바닷속 동굴에서 호심탐탐 기회만 엿보던 몰가나는 멜로디에게 접근하여 인어가 되게 해주겠다고 꼬드기며 마법을 건다. 꿈에도 그리던 꼬리를 갖게 된 멜로디는 너무나 기쁜 나머지 마음껏 헤엄을 쳐다니고, 마침내는 영원히 인어가 되고 싶어진다.  멜로디를 영원히 인어로 만들어주는 대신 몰가나가 내건 조건은 트리톤의 마법창을 빼앗아 오라는 것이었다. 몰가나의 말에 속아넘어간 멜로디는 마법창을 몰가나에게 되돌려 주고 인어가 되기 위해, 용궁으로 헤엄쳐간다.  한편, 에리얼의 성에서는 갑자기 멜로디가 없어지자 난리가 나고 에리얼은 다시 인어의 몸으로 돌아가 플라운더, 세바스찬, 스커들과 함께 멜로디를 찾아 나서는데...",8.98,/7QL0uTT7Qv9YmXhIdWA8nlet17j.jpg,2000-01-23,인어공주 2,FALSE,6.5,1352
8,FALSE,/eEp81gggG3z0MqIFkW7gf0IBHCK.jpg,"[80, 35]",2360,en,Saving Grace,"남편이 죽은 뒤 엄청난 빚더미에 앉은 그레이스는 정원사 매튜의 제안으로 '금보다 비싼' 화초를 키우게 된다. 그 화초는 다름아닌 대마초. 화초 가꾸는데 천부적인 재능을 가진 그레이스는 최상급 대마초를 온실 가득 길러내지만 이 금단의 화초를 어떻게 금값으로 팔 것인가, 쉽지않은 문제가 남는다. 하지만 그레이스에게는 좋은 친구들이 많다.",8.597,/ml8XwUomPfisNsKmluP8TIZOR89.jpg,2000-01-24,오! 그레이스,FALSE,6.6,322
9,FALSE,/6W2jH4hcqbNto9uTyda8ccNj1oJ.jpg,"[18, 16, 14, 35, 10751, 10749, 9648, 12]",65592,fr,Princes et Princesses,"누군가 나만을 위해 영화를 상영해 준다면? '나'를 영화 속 주인공으로 만들어주는 깜찍한 발상에서 시작된 영화. 상상력이 풍부한 소년과 소녀가 매일 밤 영화관에서 만나 상상 속의 왕자와 공주로 다시 태어난다.소심하고 겁이 많지만 111개의 다이아몬드를 찾아 공주의 마법을 푸는 왕자. 싱싱한 무화과의 맛과 바보스러우리만치 순수한 소년의 정성에 감복해버린 거만한 여왕. 군중들의 비웃음에 개의치 않고 차분해 때를 기다리다가 멋쟁이 마녀와 사랑에 빠지는 청년. 메가 레이더 살인을 즐기는 미래 여왕과 그녀의 잔인함 속에 짙게 드리워진 고독을 치유해준 파블로 조련사. 황당한 마법의 키스로 인해 개구리, 나비, 코뿔소, 코끼리, 애벌레, 사마귀, 벼룩, 기린, 고래, 황소로 변신해가는 왕자와 공주의 불길한 키스의 전주곡 등...소년과 소녀의 상상력은 장소와 시간을 훌쩍훌쩍 뛰어넘어 독특하고 매혹적인 사랑 이야기를 만들어 가는데... 이 봄, 사랑하는 여인들의 마음을 훔쳐갈 마법같은 이야기가 펼쳐친다.",6.391,/7VYNvydRgZqkSnTfHsMgZsm39Ic.jpg,2000-01-26,프린스 앤 프린세스,FALSE,7.7,157
