,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,,[],901320,en,Queer Blood,,1.4,/ff2uRWxJftSUmEZ7sLc2HprX76i.jpg,2021-12-01,Queer Blood,False,0.0,0
1,False,,[],901307,pl,Nail Polish,,1.4,/tTnzxZVzBc1bvoyI6m3bHspkRt8.jpg,2021-12-01,Nail Polish,False,0.0,0
2,False,,[99],900258,en,The Sand Eating Shark,,0.676,,2021-04-21,The Sand Eating Shark,False,0.0,0
3,False,/zjR6121KEPiQ5i3bpI7cMf0OdvV.jpg,"[10749, 35]",899235,en,Christmas on the Farm,,5.561,/1sbaVNSQ0zBPh0rUqL4Cvdd8Do.jpg,2021-12-01,Christmas on the Farm,False,0.0,0
4,False,,[18],898360,en,Ghodwa,,3.438,,2021-12-01,Ghodwa,False,0.0,0
5,False,,[18],898359,en,Daughters Of Abdul-Rahman,,4.346,/qBhwiD38rSWMpWQjOYmBpucl7L8.jpg,2021-12-01,Daughters Of Abdul-Rahman,False,0.0,0
6,False,,[99],898355,en,Diary of Gabrielle Street,,3.298,,2021-12-01,Diary of Gabrielle Street,False,0.0,0
7,False,,[18],898354,en,A Second Life,,3.01,,2021-12-01,A Second Life,False,0.0,0
8,False,,[99],898353,en,From Cairo,,3.01,,2021-12-01,From Cairo,False,0.0,0
9,False,,[18],898352,en,Collapsed Walls,,3.26,,2021-12-01,Collapsed Walls,False,0.0,0
10,False,,[99],898351,en,Nile Crocodile,,2.76,,2021-12-01,Nile Crocodile,False,0.0,0
11,False,,[99],895999,en,The Girl in the Fountain,,5.588,/nR14rrEwEUcSjGh8ZXjAEYNLwqg.jpg,2021-11-29,The Girl in the Fountain,False,0.0,0
12,False,,[],895311,ar,ابو صدام,,3.598,/qhsw0OMX1bIFqEI6u297wZNTJBA.jpg,2021-12-01,ابو صدام,False,0.0,0
13,False,/tQiRWLU8WBnwdaSnN8RGNvb8hw4.jpg,"[10402, 10770]",894620,en,Kelly Clarkson Presents: When Christmas Comes Around,,5.403,/gm1kJxsmfoBEMFZl6GxujaDHLo7.jpg,2021-12-01,Kelly Clarkson Presents: When Christmas Comes Around,False,0.0,0
14,False,,[10402],892548,ko,팬텀: 더 뮤지컬 라이브,"파리 오페라 하우스의 어둠만이 가득한 지하, 그곳에는 천재적인 재능을 지녔지만 흉측한 얼굴 탓에 숨어 지내는 오페라의 유령이 있다. 오페라 하우스를 지배하는 그는 ‘팬텀’이라고만 알려져 있을 뿐 그 누구도 그의 정체를 알지 못한다. 그는 우연히 천상의 목소리를 가진 크리스틴 다에의 목소리를 듣고 단번에 매료되고, 그녀를 오페라 극장의 새로운 디바로 만들기 위한 비밀스러운 레슨을 시작한다. 오페라의 유령의 도움으로 크리스틴의 실력은 나날이 향상되고 기다려왔던 데뷔 무대를 치르지만,  열등감과 질투에 사로잡힌 오페라 극장의 디바 카를로타의 사악한 음모에 크리스틴의 데뷔는 엉망이 되고 만다. 이에 분노한 오페라의 유령은 자신의 모든 것을 걸고, 크리스틴을 지키기로 다짐하게 되는데…",4.191,/12huuuvF8R5no5FiasjxQ0FFwjk.jpg,2021-12-01,팬텀: 더 뮤지컬 라이브,False,0.0,0
15,False,,[99],891124,fr,La Grande aventure du Cirque Plume,,3.168,/kuCLFFCpUyn1du3oVuwISTy4AcA.jpg,2021-12-01,La Grande aventure du Cirque Plume,False,0.0,0
16,False,/jCA5gYfWlLcvGMnX6ubXL5jWwn8.jpg,[35],889739,en,Tagged,,4.362,/ws3EWPvqaxqR4QQrh5izoyST8Qj.jpg,2021-12-01,Tagged,False,0.0,0
17,False,,[99],888457,es,Todxs somos Santiago,,2.858,/yjEScfO55kPBr2VZqRu7wncrkAg.jpg,2021-12-01,Todxs somos Santiago,False,0.0,0
18,False,/vVG3EiGfPzqIvIuTFmpiRkGvHRn.jpg,[99],887171,en,Adrienne,,5.046,/5aL3BAblvaUzZNJ2e36b30IpdPR.jpg,2021-11-14,Adrienne,False,0.0,0
19,False,,[18],885443,pt,A Praia do Fim do Mundo,,3.17,/fQOQoco3ojdTpk9Q4c301diyRFw.jpg,2021-12-01,A Praia do Fim do Mundo,False,0.0,0
20,False,,"[878, 12, 10751]",881957,nl,Captain Nova,,5.337,/xzomO8VLkvnoudDwwz409OcOQb6.jpg,2021-12-01,Captain Nova,False,0.0,0
21,False,,[],877033,en,A Love Letter to Theatre,,3.929,/yIHVGPduPcymGFC4HAzINv9Fj7a.jpg,2021-12-01,A Love Letter to Theatre,False,0.0,0
22,False,,"[10770, 27]",876801,en,The Mezzotint,,4.908,,2021-12-01,The Mezzotint,False,0.0,0
23,False,,[],873974,en,Alone Time,,4.105,/eJmsipOBaXKhBizvgrl56mFTbFB.jpg,2021-12-01,Alone Time,False,0.0,0
24,False,,"[10402, 35, 10770]",872130,en,Zoey's Extraordinary Christmas,,9.709,,2021-12-01,Zoey's Extraordinary Christmas,False,0.0,0
25,False,,[],871062,en,Inner City Blues,,3.98,/d55wmzM2LCurGmjzFjgPb6rDvgn.jpg,2021-12-01,Inner City Blues,False,0.0,0
26,False,,[16],865971,en,Arctic Song,,4.458,,2021-12-01,Arctic Song,False,0.0,0
27,False,/v7InJx4PlW5OnmOhNKYT8sRD9tq.jpg,[99],861769,fr,Seuls,,2.601,/fHdfyQrkbH2Ff28fZF813lZRF8U.jpg,2021-11-12,Seuls,False,0.0,0
28,False,,[99],860309,en,The Spaghetti Stains,,2.865,/btIu9W1UNygqrV1XY4RA3pn2yer.jpg,2021-12-01,The Spaghetti Stains,False,0.0,0
29,False,/kczdsQ4TbEwG6eHE548zavPMoCv.jpg,"[35, 18]",857567,en,COWBOY.MOV,,0.84,/6JOj6hZtLmlBmhJoPHI3pJFNs9N.jpg,2021-09-09,COWBOY.MOV,False,0.0,0
30,False,/gE2FPQfHy976rpJzjBebHA8anVe.jpg,"[10770, 35, 10749, 10751]",854199,en,Match Made in Mistletoe,,8.024,/xtvAdXFVJy1DAxenFIC72B9Hjx3.jpg,2021-12-01,Match Made in Mistletoe,False,0.0,0
31,False,,[],851479,en,Rocky Road to Berlin,,2.759,/wcNOq6UZyhPYUxhXQTrh3KOYvte.jpg,2021-12-01,Rocky Road to Berlin,False,0.0,0
32,False,,[18],846198,fr,Tom Medina,,3.521,/jfNHjCkInsJJzAM19p24xbPxv8b.jpg,2021-08-04,Tom Medina,False,5.3,3
33,False,,[99],843857,en,Being Black in Porn,,9.143,/7QC9t4fze5f86yAXbC1pV8kasZq.jpg,2021-12-01,Being Black in Porn,False,0.0,0
34,False,,"[35, 18]",843477,en,Maybe Someday,,5.941,,2021-12-01,Maybe Someday,False,0.0,0
35,False,,[99],842354,fr,Animal,,3.698,/asQNQ1LDQZni0QZuiplxcLCWe4l.jpg,2021-12-01,Animal,False,0.0,0
36,False,,[18],838119,cn,一路瞳行,,3.928,,2021-12-01,一路瞳行,False,0.0,0
37,False,,[99],834371,fr,May B,,0.738,/s5FSw8IqJtOS1pWsJ03x8GBygsm.jpg,2021-06-09,May B,False,0.0,0
38,False,,"[16, 18]",833542,ja,ギヴン うらがわの存在,,5.524,/8NNX7IP8Em2QWXeRwuKn3AvpI1I.jpg,2021-12-01,ギヴン うらがわの存在,False,0.0,0
39,False,,[],828371,fr,Positif,,4.186,/dhU4eaOnTSWdhlOWTcoyjltLWMA.jpg,2021-12-01,Positif,False,0.0,0
40,False,,[99],822761,fr,En Formation,,3.053,/4mUS8VL0CDnOvYCaLMYUVuhVGlU.jpg,2021-12-01,En Formation,False,0.0,0
41,False,,[18],812568,en,Wuhan Driver,,2.818,/uWuTrkrSUmj2Y2Aaq9coDwxlHjz.jpg,2021-12-01,Wuhan Driver,False,0.0,0
42,False,,[],811336,en,The Last Heist,,4.725,,2021-12-01,The Last Heist,False,0.0,0
43,False,/3Hu2NrLq07sZovInAN5wIaAo8xf.jpg,[10749],805973,en,Christmas at the Ranch,,15.646,/mewHk6JNHHSVeTJ5DBFrjdtxmUE.jpg,2021-12-01,Christmas at the Ranch,False,0.0,0
44,False,,[99],805958,fr,Ziyara,,4.081,/8S7S5WOFbOTuv6mmRF9sP6S8lCM.jpg,2021-12-01,Ziyara,False,0.0,0
45,False,/xoTxAxzloyUvDK2DKhGb9iSyBRe.jpg,"[16, 14, 28, 12]",795607,zh,白蛇2：青蛇劫起,,10.163,/aDtBAXBupxS9jirK1Jg86dvo3CG.jpg,2021-07-23,白蛇2：青蛇劫起,False,7.2,6
46,False,,"[99, 35]",792966,en,Find the Funny,,2.876,,2021-12-01,Find the Funny,False,0.0,0
47,False,,[37],791125,en,Heart of the Gun,,4.469,,2021-12-01,Heart of the Gun,False,0.0,0
48,False,,"[53, 80]",780898,fr,Hors du monde,,1.4,/wuRhhoVbPJb93g7kXIUcJvXm4zN.jpg,2020-10-17,Hors du monde,False,0.0,0
49,False,,[],768528,fr,Objectif Kilimandjaro,,3.643,,2021-12-01,Objectif Kilimandjaro,False,0.0,0
50,False,/6UxCO59sdhvp43OCkrYx4EX61J.jpg,[18],766798,es,Madres paralelas,같은 날 출산한 두 여성의 인생을 바꾼 운명적 선택을 그린 드라마,16.874,/cxp4W9QtHOOdi2VfgUmB9AtljvA.jpg,2021-10-08,페러렐 마더스,False,6.9,91
51,False,,[18],766314,en,Whina,,3.601,,2021-12-01,Whina,False,0.0,0
52,False,/lLbZbIIx8HLuqtJgSD07HmoKvgZ.jpg,"[27, 53]",762079,fr,Le Calendrier,"불의의 사고로 휠체어에 의존하게 된 전직 댄서 에바는 친구 소피로부터 골동품 어드벤트 캘린더를 선물받는다. 하루에 하나씩 꺼내본 초콜릿과 캔디는 에바에게 예기치 않은 행운을 선사하고, 그녀는 점점 캘린더가 선사하는 매일의 메시지에 집착하기 시작한다. 급기야 에바를 다시 걷게 해주겠다는 캘린더의 약속은 그녀와 그녀의 주변을 공격하며 걷잡을 수 없는 위험으로 번져간다.",3.448,/2QTMyYVsZqU8aYd0SbDufJDY5A1.jpg,2021-12-01,언더 더 커스,False,0.0,0
53,False,/7z5MJGJ9CObnu770ZubDQye7DKD.jpg,[27],760195,en,Separation,"8살 제니는 그녀의 변호사 엄마 매기와 예술가 아빠 제프 간의 불화에 이러지도 저러지도 못한다. 엄마가 뺑소니 사고로 비극적으로 죽자, 제프와 제니는 새로운 삶을 함께 하려고 한다. 그러나 엄마의 영혼은 집을 떠나지 못하고, 이상한 현상들이 나타나면서 제니와 아빠 제프가 위험에 빠지게 되는데..",412.263,/lHbSC2Np17CRsRXIbaE0YY1Hora.jpg,2021-04-30,세퍼레이션,False,5.8,82
54,False,,[18],756603,fr,Les Choses humaines,,3.207,/weESpVtNAPGhdXy9AUbj8X7YqjC.jpg,2021-12-01,Les Choses humaines,False,0.0,0
55,False,/4C57cSkO7ty3lKXdBG43xGVFKYS.jpg,"[10770, 10749]",746043,en,Good Morning Christmas!,,4.768,/bbdAuRd893TvCiX4PGOLJLNMuhn.jpg,2020-11-25,Good Morning Christmas!,False,7.1,9
56,False,,"[16, 99]",742866,en,Caresses magiques,,4.189,/5fYEE8SxbKKbXag6D6arQ4lJXHT.jpg,2021-12-01,Caresses magiques,False,0.0,0
